Player ID,Full Name,Bingo Card
1001_1,Wesley,1001
1001_2,Artur Patras,1001
1001_3,Ousmane N'Doye,1001
1001_4,Rafal Grzelak,1001
1001_5,Kehinde Fatai,1001
1001_6,Ze Kalanga,1001
1001_7,Edel Apoula Bete,1001
1001_8,Ryan Griffiths,1001
1001_9,Srecko Mitrovic,1001
1001_10,Denis Zmeu,1001
1001_11,Novak Martinovic,1001
1001_12,Ersin Mehmedovic,1001
1001_13,Liviu Antal,1001
1001_14,Ianis Hagi,1001
1001_15,Lucian Burdujan,1001
1001_16,Cristi Chivu,1001
1001_17,Miodrag Belodedici,1001
1001_18,Razvan Rat,1001
1001_19,Ciprian Marica,1001
1001_20,Stefan Popescu,1001
1001_21,Marius Constantin,1001
1001_22,Mihai Popescu,1001
1001_23,Adrian Rus,1001
1001_24,Marius Stefanescu,1001
1001_25,Jayson Papeau,1001
1001_26,Hakim Abdallah,1001
1001_27,Louis Munteanu,1001
1001_28,Mario Camora,1001
1001_29,Razvan Cocis,1001
1001_30,Dan Nistor,1001
1001_31,Ionut Stoica,1001
1001_32,Alin Seroni,1001
1001_33,Constantin Budescu,1001
1001_34,Kader Keita,1001
1001_35,Denil Maldonado,1001
1001_36,Stefan Bana,1001
1001_37,Kyllan Mbappe,1001
1001_38,Marius Niculae,1001
1001_39,Mihaita Plesan,1001
1001_40,Andrea Pirlo,1001
1002_1,Florin Costea,1002
1002_2,Liviu Antal,1002
1002_3,Raul Rusescu,1002
1001_4,Hakim Abdallah,1002
1002_5,Mattias Käit,1002
1002_6,Karlo Muhar,1002
1002_7,Georgi Milanov,1002
1002_8,Daisuke Sato,1002
1002_9,Vasile Maftei,1002
1002_10,Emmanuel Adebayor,1002
1002_11,Dorel Mutica,1002
1002_12,Cristi Sapunaru,1002
1002_13,Harry Kane,1002
1002_14,Bogdan Lobont,1002
1002_15,Alexandru Rosca,1002
1002_16,Luka Modric,1002
1002_17,Razvan Cocis,1002
1002_18,Lionel Messi,1002
1002_19,Wesley,1002
1002_20,Matija Katanec,1002
1002_21,Florent Poulolo,1002
1002_22,Alexandru Mitriță,1002
1002_23,George Puscas,1002
1002_24,Francesco Totti,1002
1002_25,Petre Marin,1002
1002_26,Kristian Dimitrov,1002
1002_27,Árpád Tordai,1002
1002_28,Cristian Daminuta,1002
1002_29,Gabriel Torje,1002
1002_30,Stefan Radu,1002
1002_31,Razvan Patriche,1002
1002_32,Marius Marin,1002
1002_33,Rayan Raveloson,1002
1002_34,Gerrit Holtmann,1002
1002_35,Filippo Inzaghi,1002
1002_36,Federico Valverde,1002
1002_37,Moussa Sissoko,1002
1002_38,Demba Ba,1002
1002_39,Kylian Mbappe,1002
1001_40,Dimitar Berbatov,1002
1003_1,Frenkie De Jong,1003
1003_2,Houssem Aouar,1003
1003_3,Folarin Balogun,1003
1003_4,Bryan Cristante,1003
1003_5,Mathieu Flamini,1003
1003_6,Alexis Sanchez,1003
1003_7,Emile Smith Rowe,1003
1003_8,Serge Gnabry,1003
1003_9,Gianluigi Donnarumma,1003
1003_10,Marc Overmars,1003
1003_11,Matteo Darmian,1003
1003_12,Fernando Torres,1003
1003_13,Mesut Ozil,1003
1003_14,Lucas Ocampos,1003
1003_15,Eddie Nketiah,1003
1003_16,Mats Hummels,1003
1003_17,Bernd Leno,1003
1003_18,Cafu,1003
1003_19,Leon Bailey,1003
1003_20,Louis Saha,1003
1003_21,David Ospina,1003
1003_22,Mario Balotelli,1003
1003_23,Mohamed Elneny,1003
1003_24,Karim Adeyemi,1003
1003_25,Claudio Pizzaro,1003
1003_26,Angel Correia,1003
1003_27,Roberto Ayala,1003
1003_28,Nacer Chadli,1003
1003_29,Youri Tielmans,1003
1003_30,Raphael Varane,1003
1003_31,Moussa Diaby,1003
1003_32,Malik Tillman,1003
1003_33,Yunus Musah,1003
1003_34,Ze Roberto,1003
1003_35,Julio Cesar (45),1003
1003_36,Renan Lodi,1003
1003_37,Pau Lopez,1003
1003_38,Walter Samuel,1003
1003_39,Ivan Zamorano,1003
1003_40,Pepe,1003
1003_41,Paulo Ferreira,1003
1003_42,Sokratis Papastathopoulos,1003
1003_43,Shinji Kagawa,1003
1003_44,Nigel De Jong,1003
1003_45,Andrea Pirlo,1003
1003_46,Mikael Silvestre,1003
1003_47,Nacho Monreal,1003
1003_48,David De Gea,1003
1003_49,Marc Bartra,1003
1003_50,Christian Vieri,1003
1003_51,Romario,1003
1003_52,Karim Benzema,1003
1003_53,Johan Cruyff,1003
1003_54,Bobby Charlton,1003
1003_55,Franz Beckenbauer,1003
187492,Julian Brandt,543
3144,Robbie Keane,543
463603,Benoit Badiashile,543
35773,Carlos Vela,543
4168,Clarence Seedorf,543
26267,Fernandinho,543
3979,Iker Casillas,543
401173,Jadon Sancho,543
401923,Victor Osimhen,543
5947,Daniele De Rossi,543
5748,Alessio Tacchinardi,543
294057,James Maddison,543
3373,Ronaldinho,543
7825,Pepe Reina,543
13091,Yaya Toure,543
371149,Evan Ndicka,543
50512,Anthony Modeste,543
5980,Luca Toni,543
646740,Gavi,543
406040,Ademola Lookman,543
27511,Gary Cahill,543
357565,Rodri,543
316264,Martin Odegaard,543
86202,Antonio Rudiger,543
37579,Alexandre Pato,543
332697,Weston McKennie,543
504215,Giovanni Reyna,543
326031,Matthijs de Ligt,543
3875,Jermain Defoe,543
3216,Milan Baros,543
22412,Julio Cesar,543
33481,Gervinho,543
192565,Leroy Sane,543
314353,Trent Alexander-Arnold,543
571020,Oihan Sancet,543
17259,Manuel Neuer,543
39381,Gareth Bale,543
138927,Daniel Carvajal,543
392765,Emile Smith Rowe,543
167799,Pierre-Emile Hojbjerg,543
39153,Gonzalo Higuain,543
126540,Samuel Umtiti,543
28021,Samir Handanovic,544
200512,Sadio Mane,544
3160,John Terry,544
353366,Benjamin Pavard,544
571743,Armando Broja,544
58864,Pierre-Emerick Aubameyang,544
119296,Emre Can,544
470607,Brennan Johnson,544
186590,John Stones,544
7594,Carles Puyol,544
132098,Harry Kane,544
326029,Donyell Malen,544
198008,Andre Silva,544
37579,Alexandre Pato,544
4289,Alessandro Del Piero,544
3875,Jermain Defoe,544
50935,Chicharito,544
3406,Ryan Giggs,544
429014,Morgan Gibbs-White,544
38593,Marek Hamsik,544
7515,Michel Salgado,544
3522,Andriy Shevchenko,544
59377,David de Gea,544
34987,Burak Yilmaz,544
167799,Pierre-Emile Hojbjerg,544
484547,Jeremie Frimpong,544
88755,Kevin De Bruyne,544
486031,Nico Gonzalez,544
255901,Rodrigo De Paul,544
255508,Inaki Williams,544
16911,Kasper Schmeichel,544
444523,Lucas Paqueta,544
121483,Jan Oblak,544
27511,Gary Cahill,544
10055,Alessandro Costacurta,544
4380,Robin van Persie,544
20005,Papu Gomez,544
3854,Juan Roman Riquelme,544
4357,Klaas-Jan Huntelaar,544
15951,Dani Alves,544
4673,Wesley Sneijder,544
25557,Sergio Ramos,544
91845,Heung-min Son,545
198008,Andre Silva,545
72522,Luuk de Jong,545
3366,Kaka,545
20506,Andres Guardado,545
94529,Stephan El Shaarawy,545
5980,Luca Toni,545
35537,Felipe Melo,545
546543,Darwin Nunez,545
74418,Jackson Martinez,545
44352,Luis Suarez,545
480692,Luis Diaz,545
486049,Jeremy Doku,545
648195,Enzo Fernandez,545
40433,Alexis Sanchez,545
37579,Alexandre Pato,545
182906,Mike Maignan,545
74229,Koke,545
3415,Marcelo Salas,545
4171,Alessandro Nesta,545
288230,Ousmane Dembele,545
15378,Andrey Arshavin,545
534033,Alexis Mac Allister,545
15951,Dani Alves,545
167850,Memphis Depay,545
22412,Julio Cesar,545
4375,Michael Reiziger,545
73794,Duvan Zapata,545
1397,Michael Owen,545
426620,Pedro Goncalves,545
10055,Alessandro Costacurta,545
91970,Juan Cuadrado,545
576024,Julian Alvarez,545
3455,Zlatan Ibrahimovic,545
277179,Angelino,545
266302,Sergej Milinkovic-Savic,545
203853,Oleksandr Zinchenko,545
35207,Marco Reus,545
433177,Bukayo Saka,545
3226,Nicolas Anelka,545
5357,Sidney Govou,545
63,Michael Ballack,545
45146,Mario Balotelli,546
431755,Dejan Kulusevski,546
167329,Alassane Plea,546
3700,Frederic Kanoute,546
177467,Gerard Moreno,546
371998,Vinicius Junior,546
349066,Alexander Isak,546
21369,Arda Turan,546
234803,Andrew Robertson,546
3455,Zlatan Ibrahimovic,546
496094,Karim Adeyemi,546
69751,Jordi Alba,546
7980,David Villa,546
375885,Ibrahim Sangare,546
7589,Victor Valdes,546
1725,Jesper Christiansen,546
16306,Casemiro,546
3979,Iker Casillas,546
264372,Viktor Tsygankov,546
80444,Philippe Coutinho,546
566723,Michael Olise,546
35518,David Silva,546
5762,Mauro Camoranesi,546
16922,Kevin-Prince Boateng,546
223967,Konrad Laimer,546
3139,David Beckham,546
435772,Charles De Ketelaere,546
4072,Peter Crouch,546
371149,Evan Ndicka,546
357565,Rodri,546
331726,Tammy Abraham,546
480692,Luis Diaz,546
4248,Diego,546
105470,Alisson,546
565822,Harvey Elliott,546
73794,Duvan Zapata,546
3522,Andriy Shevchenko,546
3185,Robert Pires,546
314875,Jarrod Bowen,546
37579,Alexandre Pato,546
568157,Yeremy Pino,546
3603,Pavel Nedved,546
182893,Seko Fofana,547
23914,Lassana Diarra,547
148455,Mohamed Salah,547
7767,Fernando Torres,547
3408,Diego Forlan,547
122153,Paul Pogba,547
4380,Robin van Persie,547
5285,Patrice Evra,547
191891,Arkadiusz Milik,547
5658,Petr Cech,547
7589,Victor Valdes,547
177476,Nathan Ake,547
340456,Noussair Mazraoui,547
5878,Alberto Gilardino,547
121483,Jan Oblak,547
3182,Ashley Cole,547
4672,Nigel de Jong,547
553875,Pedro Porro,547
206050,Paulo Dybala,547
15956,Jesus Navas,547
2514,Bastian Schweinsteiger,547
129083,Ivan Zamorano,547
283628,Tomas Soucek,547
3226,Nicolas Anelka,547
394327,Boubacar Kamara,547
100986,Thomas Meunier,547
56416,Dries Mertens,547
37579,Alexandre Pato,547
65230,Sergio Busquets,547
3144,Robbie Keane,547
5821,Filippo Inzaghi,547
5803,Paolo Maldini,547
45865,Oscar Cardozo,547
552057,Adam Hlozek,547
54781,Nicolas Otamendi,547
513245,Jesper Lindstrom,547
141660,Jesse Lingard,547
26399,Sergio Aguero,547
217111,Hakim Ziyech,547
181579,James Ward-Prowse,547
153084,Leon Goretzka,547
65,Dimitar Berbatov,547
3202,Kolo Toure,548
230784,Thomas Partey,548
37579,Alexandre Pato,548
283628,Tomas Soucek,548
3163,Frank Lampard,548
141660,Jesse Lingard,548
5198,Phillip Cocu,548
5283,Eric Abidal,548
111196,Stefan de Vrij,548
294057,James Maddison,548
15511,Robinho,548
258923,Marcus Rashford,548
182906,Mike Maignan,548
7520,Esteban Cambiasso,548
284857,Marc Cucurella,548
8806,Cesc Fabregas,548
3407,Ruud van Nistelrooy,548
3140,Ronaldo,548
225122,Goncalo Guedes,548
187587,Ante Rebic,548
57071,Peter Gulacsi,548
581678,Jude Bellingham,548
40433,Alexis Sanchez,548
145988,Wilfried Zaha,548
7518,Roberto Carlos,548
138927,Daniel Carvajal,548
7663,Joaquin,548
51471,Mateo Kovacic,548
186590,John Stones,548
91845,Heung-min Son,548
375885,Ibrahim Sangare,548
314367,Marcus Edwards,548
126540,Samuel Umtiti,548
5817,Andrea Pirlo,548
200512,Sadio Mane,548
50512,Anthony Modeste,548
3415,Marcelo Salas,548
4171,Alessandro Nesta,548
321247,Emiliano Buendia,548
249565,Youri Tielemans,548
20506,Andres Guardado,548
46156,Aleksandar Kolarov,548
214,Hasan Salihamidzic,550
257462,Luka Jovic,550
255901,Rodrigo De Paul,550
357164,Rafael Leao,550
462250,Joao Felix,550
3156,William Gallas,550
294808,Franck Kessie,550
37579,Alexandre Pato,550
3518,Frank de Boer,550
418659,Amine Gouiri,550
598577,Florian Wirtz,550
156617,Marcelo Brozovic,550
487969,Randal Kolo Muani,550
351809,Robin Le Normand,550
215876,Ricardo Pereira,550
431755,Dejan Kulusevski,550
198008,Andre Silva,550
35047,Axel Witsel,550
266302,Sergej Milinkovic-Savic,550
44162,Miralem Pjanic,550
26267,Fernandinho,550
26399,Sergio Aguero,550
303254,Fikayo Tomori,550
349066,Alexander Isak,550
65,Dimitar Berbatov,550
7514,Ivan Helguera,550
3183,Patrick Vieira,550
187492,Julian Brandt,550
282411,Marcos Llorente,550
182877,Anthony Martial,550
315779,Christian Pulisic,550
58864,Pierre-Emerick Aubameyang,550
4357,Klaas-Jan Huntelaar,550
3455,Zlatan Ibrahimovic,550
3216,Milan Baros,550
442531,Edouard Mendy,550
13168,Raul Meireles,550
488362,Conor Gallagher,550
4380,Robin van Persie,550
5800,Dida,550
485706,Amadou Onana,550
8198,Cristiano Ronaldo,550
70,Emerson,554
3202,Kolo Toure,554
204103,Adama Traore,554
156617,Marcelo Brozovic,554
74230,Pablo Sarabia,554
200512,Sadio Mane,554
7520,Esteban Cambiasso,554
5818,Massimo Ambrosini,554
502670,Khvicha Kvaratskhelia,554
42205,Yann Sommer,554
167850,Memphis Depay,554
315779,Christian Pulisic,554
8198,Cristiano Ronaldo,554
372246,Carlos Soler,554
504215,Giovanni Reyna,554
480762,Lisandro Martinez,554
18301,Maicon,554
132098,Harry Kane,554
74418,Jackson Martinez,554
257814,Gregor Kobel,554
646740,Gavi,554
37579,Alexandre Pato,554
326330,Frenkie de Jong,554
424204,Alphonso Davies,554
131789,Roberto Firmino,554
398065,Harvey Barnes,554
146854,Wissam Ben Yedder,554
93128,Kalidou Koulibaly,554
108880,Koen Casteels,554
3207,Thierry Henry,554
3397,Paul Scholes,554
15956,Jesus Navas,554
10,Miroslav Klose,554
73794,Duvan Zapata,554
5980,Luca Toni,554
7515,Michel Salgado,554
105470,Alisson,554
197300,Federico Bernardeschi,554
326031,Matthijs de Ligt,554
126540,Samuel Umtiti,554
3372,Rivaldo,554
50935,Chicharito,554
601883,Matheus Nunes,555
39152,Radamel Falcao,555
41982,Radja Nainggolan,555
7518,Roberto Carlos,555
566723,Michael Olise,555
4015,Louis Saha,555
451276,Dominik Szoboszlai,555
96341,Romelu Lukaku,555
69751,Jordi Alba,555
74418,Jackson Martinez,555
552057,Adam Hlozek,555
332697,Weston McKennie,555
7980,David Villa,555
19981,Javier Mascherano,555
616341,Nuno Mendes,555
82009,Kevin Volland,555
48298,Lars Stindl,555
3182,Ashley Cole,555
264372,Viktor Tsygankov,555
37579,Alexandre Pato,555
338424,Mikel Merino,555
38253,Robert Lewandowski,555
255901,Rodrigo De Paul,555
3446,Luis Figo,555
57071,Peter Gulacsi,555
543382,Mohamed Camara,555
27577,Clint Dempsey,555
480267,Ronald Araujo,555
102017,Jorginho,555
286297,Lorenzo Pellegrini,555
357164,Rafael Leao,555
45146,Mario Balotelli,555
16760,Yuriy Zhirkov,555
3603,Pavel Nedved,555
277179,Angelino,555
413039,Bryan Mbeumo,555
13091,Yaya Toure,555
354362,Rodrigo Bentancur,555
480692,Luis Diaz,555
357153,Diogo Costa,555
3291,Gareth Barry,555
576024,Julian Alvarez,555
3140,Ronaldo,556
395516,Moussa Diaby,556
146854,Wissam Ben Yedder,556
57071,Peter Gulacsi,556
274839,Wilfred Ndidi,556
3854,Juan Roman Riquelme,556
462250,Joao Felix,556
121483,Jan Oblak,556
442891,Martin Terrier,556
3332,Wayne Rooney,556
351816,Ismael Bennacer,556
5821,Filippo Inzaghi,556
